Entity;Code;Year;democracy_eiu;region
Afghanistan;AFG;2017;2.55;Asia
Albania;ALB;2017;5.98;Europe
Algeria;DZA;2017;3.56;Africa
Angola;AGO;2017;3.62;Africa
Argentina;ARG;2017;6.96;South America
Armenia;ARM;2017;4.11;Asia
Australia;AUS;2017;9.09;Oceania
Austria;AUT;2017;8.42;Europe
Azerbaijan;AZE;2017;2.65;Asia
Bahrain;BHR;2017;2.71;Asia
Bangladesh;BGD;2017;5.43;Asia
Belarus;BLR;2017;3.13;Europe
Belgium;BEL;2017;7.78;Europe
Benin;BEN;2017;5.61;Africa
Bhutan;BTN;2017;5.08;Asia
Bolivia;BOL;2017;5.49;South America
Bosnia and Herzegovina;BIH;2017;4.87;Europe
Botswana;BWA;2017;7.81;Africa
Brazil;BRA;2017;6.86;South America
Bulgaria;BGR;2017;7.03;Europe
Burkina Faso;BFA;2017;4.75;Africa
Burundi;BDI;2017;2.33;Africa
Cambodia;KHM;2017;3.63;Asia
Cameroon;CMR;2017;3.61;Africa
Canada;CAN;2017;9.15;North America
Cape Verde;CPV;2017;7.88;Africa
Central African Republic;CAF;2017;1.52;Africa
Chad;TCD;2017;1.5;Africa
Chile;CHL;2017;7.84;South America
China;CHN;2017;3.1;Asia
Colombia;COL;2017;6.67;South America
Comoros;COM;2017;3.71;Africa
Congo;COG;2017;3.25;Africa
Costa Rica;CRI;2017;7.88;North America
Cote d'Ivoire;CIV;2017;3.93;Africa
Croatia;HRV;2017;6.63;Europe
Cuba;CUB;2017;3.31;North America
Cyprus;CYP;2017;7.59;Europe
Czechia;CZE;2017;7.62;Europe
Democratic Republic of Congo;COD;2017;1.61;Africa
Denmark;DNK;2017;9.22;Europe
Djibouti;DJI;2017;2.76;Africa
Dominican Republic;DOM;2017;6.66;North America
Ecuador;ECU;2017;6.02;South America
Egypt;EGY;2017;3.36;Africa
El Salvador;SLV;2017;6.43;North America
Equatorial Guinea;GNQ;2017;1.81;Africa
Eritrea;ERI;2017;2.37;Africa
Estonia;EST;2017;7.79;Europe
Eswatini;SWZ;2017;3.03;Africa
Ethiopia;ETH;2017;3.42;Africa
Fiji;FJI;2017;5.85;Oceania
Finland;FIN;2017;9.03;Europe
France;FRA;2017;7.8;Europe
Gabon;GAB;2017;3.61;Africa
Gambia;GMB;2017;4.06;Africa
Georgia;GEO;2017;5.93;Asia
Germany;DEU;2017;8.61;Europe
Ghana;GHA;2017;6.69;Africa
Greece;GRC;2017;7.29;Europe
Guatemala;GTM;2017;5.86;North America
Guinea;GIN;2017;3.14;Africa
Guinea-Bissau;GNB;2017;1.98;Africa
Guyana;GUY;2017;6.46;South America
Haiti;HTI;2017;4.03;North America
Honduras;HND;2017;5.72;North America
Hong Kong;HKG;2017;6.31;Asia
Hungary;HUN;2017;6.64;Europe
Iceland;ISL;2017;9.58;Europe
India;IND;2017;7.23;Asia
Indonesia;IDN;2017;6.39;Asia
Iran;IRN;2017;2.45;Asia
Iraq;IRQ;2017;4.09;Asia
Ireland;IRL;2017;9.15;Europe
Israel;ISR;2017;7.79;Asia
Italy;ITA;2017;7.98;Europe
Jamaica;JAM;2017;7.29;North America
Japan;JPN;2017;7.88;Asia
Jordan;JOR;2017;3.87;Asia
Kazakhstan;KAZ;2017;3.06;Asia
Kenya;KEN;2017;5.11;Africa
Kuwait;KWT;2017;3.85;Asia
Kyrgyzstan;KGZ;2017;5.11;Asia
Laos;LAO;2017;2.37;Asia
Latvia;LVA;2017;7.25;Europe
Lebanon;LBN;2017;4.72;Asia
Lesotho;LSO;2017;6.64;Africa
Liberia;LBR;2017;5.23;Africa
Libya;LBY;2017;2.32;Africa
Lithuania;LTU;2017;7.41;Europe
Luxembourg;LUX;2017;8.81;Europe
Madagascar;MDG;2017;5.11;Africa
Malawi;MWI;2017;5.49;Africa
Malaysia;MYS;2017;6.54;Asia
Mali;MLI;2017;5.64;Africa
Malta;MLT;2017;8.15;Europe
Mauritania;MRT;2017;3.82;Africa
Mauritius;MUS;2017;8.22;Africa
Mexico;MEX;2017;6.41;North America
Moldova;MDA;2017;5.94;Europe
Mongolia;MNG;2017;6.5;Asia
Montenegro;MNE;2017;5.69;Europe
Morocco;MAR;2017;4.87;Africa
Mozambique;MOZ;2017;4.02;Africa
Myanmar;MMR;2017;3.83;Asia
Namibia;NAM;2017;6.31;Africa
Nepal;NPL;2017;5.18;Asia
Netherlands;NLD;2017;8.89;Europe
New Zealand;NZL;2017;9.26;Oceania
Nicaragua;NIC;2017;4.66;North America
Niger;NER;2017;3.76;Africa
Nigeria;NGA;2017;4.44;Africa
North Korea;PRK;2017;1.08;Asia
North Macedonia;MKD;2017;5.57;Europe
Norway;NOR;2017;9.87;Europe
Oman;OMN;2017;3.04;Asia
Pakistan;PAK;2017;4.26;Asia
Panama;PAN;2017;7.08;North America
Papua New Guinea;PNG;2017;6.03;Oceania
Paraguay;PRY;2017;6.31;South America
Peru;PER;2017;6.49;South America
Philippines;PHL;2017;6.71;Asia
Poland;POL;2017;6.67;Europe
Portugal;PRT;2017;7.84;Europe
Qatar;QAT;2017;3.19;Asia
Romania;ROU;2017;6.44;Europe
Russia;RUS;2017;3.17;Europe
Rwanda;RWA;2017;3.19;Africa
Saudi Arabia;SAU;2017;1.93;Asia
Senegal;SEN;2017;6.15;Africa
Serbia;SRB;2017;6.41;Europe
Sierra Leone;SLE;2017;4.66;Africa
Singapore;SGP;2017;6.32;Asia
Slovakia;SVK;2017;7.16;Europe
Slovenia;SVN;2017;7.5;Europe
South Africa;ZAF;2017;7.24;Africa
South Korea;KOR;2017;8;Asia
Spain;ESP;2017;8.08;Europe
Sri Lanka;LKA;2017;6.48;Asia
Sudan;SDN;2017;2.15;Africa
Suriname;SUR;2017;6.76;South America
Sweden;SWE;2017;9.39;Europe
Switzerland;CHE;2017;9.03;Europe
Syria;SYR;2017;1.43;Asia
Taiwan;TWN;2017;7.73;Asia
Tajikistan;TJK;2017;1.93;Asia
Tanzania;TZA;2017;5.47;Africa
Thailand;THA;2017;4.63;Asia
Timor;TLS;2017;7.19;Asia
Togo;TGO;2017;3.05;Africa
Trinidad and Tobago;TTO;2017;7.04;North America
Tunisia;TUN;2017;6.32;Africa
Turkey;TUR;2017;4.88;Asia
Turkmenistan;TKM;2017;1.72;Asia
Uganda;UGA;2017;5.09;Africa
Ukraine;UKR;2017;5.69;Europe
United Arab Emirates;ARE;2017;2.69;Asia
United Kingdom;GBR;2017;8.53;Europe
United States;USA;2017;7.98;North America
Uruguay;URY;2017;8.12;South America
Uzbekistan;UZB;2017;1.95;Asia
Venezuela;VEN;2017;3.87;South America
Vietnam;VNM;2017;3.08;Asia
World;OWID_WRL;2017;5.47544910179641;World
Yemen;YEM;2017;2.07;Asia
Zambia;ZMB;2017;5.68;Africa
Zimbabwe;ZWE;2017;3.16;Africa
